OBJECTID,NameplateC,OperatingM,OperatingY,Shape__Area,Shape__Length
374,2.9,8,2020,564187.605377197,3061.68516252084
375,0,9,2017,91261.6671142578,1666.16483330864
376,0,9,2017,134557.380722046,1490.75363502507
377,1,8,2018,154979.07258606,3103.69580772337
378,1.3,6,2020,366391.916061401,4051.53794420016
379,2,10,2016,371053.936920166,2727.57734961238
380,2,10,2016,408974.48727417,3016.08032690829
381,0,9,2017,425362.700592041,2564.67522701482
382,2,3,2018,194275.705291748,2527.45219159584
383,2,3,2018,306157.87071991,2317.80428213084
384,0,5,2015,684020.683677673,3900.47965898378
385,0,6,2022,252871.557434082,2172.2932696647
386,0,6,2022,60524.0990982056,1000.04856318211
387,0,6,2022,144117.787574768,1769.71908287297
388,0,6,2022,70559.8882446289,1261.84408303369
389,1.4,6,2020,40682.0676879883,920.292540067811
390,1,12,2017,182594.125511169,1653.53853000025
391,2,11,2017,505196.503456116,3370.09976188117
392,0,7,2021,222993.847682953,2405.05760236198
393,0,7,2021,175121.822280884,1790.73055480472
394,0,4,2016,118928.358573914,1578.38189400885
395,1.3,7,2020,484893.944816589,3066.45483857092
396,0,9,2017,85341.217048645,1175.09359813191
397,1.9,3,2016,203412.306663513,1930.94026644359
398,1.9,3,2016,120243.105133057,1439.55291076148
399,1.9,3,2016,328445.292663574,4098.98330416313
400,1,10,2017,200954.519786835,2720.99115665666
401,0,7,2021,229229.326965332,2580.91986914566
402,0,1,2021,119441.024551392,1468.62563444325
403,3.7,1,2021,57527.4148025513,954.264603099219
404,3.7,1,2021,198396.851531982,1964.87578844911
405,0,7,2021,416390.613658905,2881.83616087386
406,0,7,2021,468851.159309387,2970.23797119197
407,1.8,12,2020,606107.450408936,4100.28862283123
408,1,11,2017,187578.539413452,1766.77144187592
409,1,11,2017,195565.144256592,2333.18409477913
410,1,11,2017,152626.472679138,1535.72399031431
411,0,7,2021,742948.511497498,5054.70699190176
412,1,11,2017,303089.907920837,2732.80404060942
413,1,11,2017,430858.5181427,2861.55021896807
414,3,7,2018,259200.422729492,2804.38677901204
415,0,9,2017,176630.826919556,1844.89855019863
416,0,9,2017,231297.884185791,2898.7785803487
417,0,1,2014,308834.738651276,2389.75611387801
418,0,1,2014,266522.844047546,2766.61244941035
419,0,1,2014,75354.7218856812,1304.27021750332
420,0,12,2016,85689.73021698,1195.47771330724
421,0,12,2016,126410.242027283,1460.9252529622
422,0,12,2016,97141.9817657471,1299.04355792061
423,1.9,8,2017,80434.0008163452,1183.4389252621
424,0,5,2015,153870.779281616,1583.99748473929
425,0,9,2019,57130.761138916,988.892084199244
426,0,9,2019,277785.074127197,2743.32468396601
427,0,5,2015,271159.775733948,2250.58829696858
